Initiative,Savings %,Daily kWh Savings
Install Rooftop Solar Panels on all Blocks,50.0,1296
Replace conventional lights with LED lighting,30.0,777.6
Install Smart Energy Meters for each block,0.0,0
Use Occupancy Sensors in classrooms and labs,0.0,0
Upgrade to 5-star rated inverter AC systems,0.0,0
Implement Energy Monitoring Dashboard,0.0,0
Install Solar Water Heating Systems,0.0,0
Conduct Energy Audit every 6 months,0.0,0
Introduce Battery Storage System for solar integration,0.0,0
Student-led Energy Awareness Campaign,0.0,0
